Año,Ranking,País,Valor FOB (USD),Valor Neto
2018,99,CHIPRE,503.64,329.83
2018,100,HUNGRIA,473.09,64.75
2018,101,GHANA,464.18,368.84
2018,102,SAN VICENTE Y LAS GRANADINAS,447.49,369.49
2018,103,JORDANIA,429.17,200.98
2018,104,BELICE,399.69,287.85
2018,105,AUSTRIA,399.06,151.47
2018,106,LETONIA,394.66,199.97
2018,107,MYANMAR,377.20,160.18
2018,108,MAURICIO,336.08,267.11
2018,109,BANGLADESH,329.95,150.00
2018,110,CROACIA,312.75,153.34
2018,111,MARRUECOS,292.11,129.81
2018,112,GRANADA,265.95,206.98
2018,113,DOMINICA,248.97,265.09
2018,114,ISLANDIA,203.16,77.06
2018,115,MALTA,174.66,81.22
2018,116,GUAYANA FRANCESA,166.30,169.00
2018,117,MOZAMBIQUE,162.76,62.50
2018,118,BARBADOS,129.67,80.61
2018,119,POLINESIA FRANCESA,86.14,17.95
2018,120,NIGERIA,73.11,20.97
2018,121,BENIN,68.94,54.17
2018,122,NUEVA CALEDONIA,67.56,48.58
2018,123,ALBANIA,61.49,33.42
2018,124,REUNION,57.00,18.70
2018,125,IRAK,56.07,94.64
2018,126,SERVIA,51.31,1.64
2018,127,TOGO,45.57,36.46
2018,128,GUINEA,45.32,38.64
2018,129,TUNICIA,43.22,7.96
2018,130,"CAIMAN,ISLAS",30.61,19.92
2018,131,"NORFOLK, ISLA",28.57,22.48
2018,132,SRI LANKA,28.10,15.00
2018,133,MALDIVAS,26.35,5.40
2018,134,KENIA,21.57,13.65
2018,135,ESLOVAQUIA,20.31,2.75
2018,136,GEORGIA,19.57,1.17
2018,137,AFGANISTAN,12.29,17.41
2018,138,LUXEMBURGO,11.91,0.22
2018,139,CAMBOYA,7.97,1.52
2018,140,"COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE",7.81,1.00
2018,141,MACAO,5.88,1.30
2018,142,TOKELAU,2.27,0.70
2018,143,ZAMBIA,1.60,0.20
2018,144,MONTENEGRO,0.44,0.13
2018,145,AZERBAIJAN,0.22,0.08
2019,1,ESTADOS UNIDOS,"2,491,000.34","1,138,478.84"
2019,2,HOLANDA,"1,136,289.86","592,106.33"
2019,3,ESPAÑA,"410,936.52","209,291.17"
2019,4,INGLATERRA,"354,431.60","160,797.36"
2019,5,ECUADOR,"303,407.71","378,939.38"
2019,6,ALEMANIA,"265,883.83","102,479.44"
2019,7,CHINA,"252,749.71","155,167.56"
2019,8,COLOMBIA,"225,798.18","327,112.89"
2019,9,CHILE,"199,106.42","222,618.60"
2019,10,CANADA,"164,705.80","77,273.43"
2019,11,BELGICA,"130,942.35","69,050.37"
2019,12,MEXICO,"125,967.57","63,884.66"
2019,13,FRANCIA,"114,364.33","50,633.27"
2019,14,HONG KONG,"113,727.14","47,523.78"
2019,15,"COREA (SUR), REPUBLICA DE","107,947.70","45,505.41"
2019,16,JAPON,"84,411.00","29,890.89"
2019,17,ITALIA,"79,966.00","32,582.43"
2019,18,BRASIL,"70,426.79","47,647.89"
2019,19,RUSIA,"62,469.94","36,129.27"
2019,20,BOLIVIA,"59,585.50","33,620.02"
2019,21,PANAMA,"57,753.97","57,271.56"
2019,22,SUECIA,"49,474.46","19,600.80"
2019,23,INDONESIA,"46,929.35","20,556.90"
2019,24,HAITI,"43,735.80","40,763.21"
2019,25,REPUBLICA DOMINICANA,"30,766.28","25,532.88"
2019,26,AUSTRALIA,"27,285.16","9,288.95"
2019,27,URUGUAY,"20,953.32","7,119.76"
2019,28,TAILANDIA,"16,690.56","7,595.37"
2019,29,PUERTO RICO,"16,347.77","11,961.63"
2019,30,DINAMARCA,"16,262.80","7,411.28"
2019,31,COSTA RICA,"15,659.68","8,678.28"
2019,32,ARGENTINA,"15,466.66","6,979.97"
2019,33,ZONAS FRANCAS DEL PERU,"14,932.40","8,389.58"
2019,34,MALAYSIA,"13,862.36","5,458.50"
2019,35,GUATEMALA,"13,542.85","6,215.37"
2019,36,NUEVA ZELANDA,"13,122.28","5,657.32"
2019,37,POLONIA,"12,587.25","6,731.18"
2019,38,TAIWAN (FORMOSA),"11,099.46","4,186.19"
2019,39,HONDURAS,"10,810.68","8,688.94"
2019,40,IRLANDA (EIRE),"10,667.28","5,019.25"
2019,41,ARABIA SAUDITA,"9,234.07","5,130.81"
2019,42,GRECIA,"9,207.46","4,104.66"
2019,43,VIET NAM,"9,151.88","6,209.93"
2019,44,PORTUGAL,"8,711.14","5,266.14"
2019,45,EMIRATOS ARABES UNIDOS,"7,907.98","4,073.01"
2019,46,EL SALVADOR,"7,899.42","4,325.67"
2019,47,NICARAGUA,"7,585.01","5,788.16"
2019,48,ISRAEL,"6,289.58","2,341.29"
2019,49,NORUEGA,"5,761.43","2,255.70"
2019,50,FINLANDIA,"5,613.93","6,691.19"
2019,51,SUIZA,"5,367.78","1,758.05"
2019,52,SINGAPUR,"5,328.05","1,685.72"
2019,53,INDIA,"5,247.79","2,247.25"
2019,54,TURQUIA,"4,515.17","3,167.24"
2019,55,TRINIDAD Y TOBAGO,"4,428.02","2,984.15"
2019,56,GAMBIA,"4,294.42","3,743.90"
2019,57,CUBA,"3,998.05","4,592.14"
2019,58,BAHAMAS,"3,841.58","3,123.43"
2019,59,VENEZUELA,"3,827.12","3,730.36"
2019,60,EGIPTO,"3,451.65","1,315.48"
2019,61,GUADALUPE,"2,667.84","1,924.11"
2019,62,LIBANO,"2,661.95","1,552.04"
2019,63,"SUDAFRICA, REPUBLICA DE","2,375.16",871.61
2019,64,GUYANA,"2,344.72","1,580.67"
2019,65,JAMAICA,"2,096.44","1,136.32"
2019,66,LITUANIA,"2,068.36",892.26
2019,67,SANTA LUCIA,"1,933.56","1,594.09"
2019,68,ARUBA,"1,787.12","1,972.06"
2019,69,OMAN,"1,747.41","1,345.05"
2019,70,CURACAO,"1,717.53","1,637.59"
2019,71,UCRANIA,"1,675.31",646.55
2019,72,PARAGUAY,"1,566.46",804.97
2019,73,REPUBLICA CHECA,"1,559.82",404.09
2019,74,KUWAIT,"1,469.10",735.37
2019,75,ARGELIA,"1,370.24",574.69
2019,76,ESTONIA,"1,284.57",424.52
2019,77,LIBERIA,"1,196.24",921.83
2019,78,FILIPINAS,"1,171.81",270.79
2019,79,ESLOVENIA,"1,112.22",396.84
2019,80,BULGARIA,"1,043.81",256.09
2019,81,BAHREIN,"1,025.49",598.53
2019,82,MAURICIO,"1,018.23",793.48
2019,83,CABO VERDE,993.20,913.42
2019,84,AGUAS INTERNACIONALES,959.65,507.49
2019,85,SAN CRISTOBAL Y NIEVES,951.51,718.30
2019,86,PHILIPSBURG,936.76,819.96
2019,87,JORDANIA,900.11,417.17
2019,88,MARTINICA,899.78,648.59
2019,89,"IRAN, REPUBLICA ISLAMICA DEL",868.22,35.10
2019,90,LETONIA,864.42,397.28
2019,91,ANGOLA,863.26,261.28
2019,92,GUINEA,862.55,728.64
2019,93,SURINAM,774.33,501.15
2019,94,GUINEA ECUATORIAL,731.81,815.44
2019,95,QATAR,684.91,322.80
2019,96,PAKISTAN,676.92,540.50
2019,97,ANTIGUA Y BARBUDA,633.58,624.66
2019,98,GHANA,606.34,475.49
2019,99,AUSTRIA,599.30,153.36
2019,100,HUNGRIA,581.15,69.73
2019,101,BANGLADESH,573.87,253.00
2019,102,SIERRA LEONA,529.53,425.81
2019,103,REUNION,528.21,345.22
2019,104,MARRUECOS,504.53,295.22
2019,105,CHIPRE,466.60,294.18
2019,106,SAN VICENTE Y LAS GRANADINAS,460.41,367.19
2019,107,MAURITANIA,426.41,381.67
2019,108,GUAYANA FRANCESA,399.61,321.52
2019,109,IRAK,384.45,550.15
2019,110,SENEGAL,348.81,275.80
2019,111,MALTA,305.50,183.33
2019,112,RUMANIA,305.12,47.66
2019,113,MYANMAR,266.16,111.15
2019,114,CROACIA,255.89,124.17
2019,115,GEORGIA,242.64,52.19
2019,116,ALBANIA,215.87,92.86
2019,117,DOMINICA,192.52,175.62
2019,118,BELICE,144.71,104.81
2019,119,BARBADOS,139.41,91.56
2019,120,GRANADA,127.71,103.71
2019,121,TOGO,126.34,92.58
2019,122,NUEVA CALEDONIA,114.81,75.03
2019,123,ISLANDIA,99.80,51.27
2019,124,MOZAMBIQUE,93.15,27.00
2019,125,GABON,90.82,56.14
2019,126,CONGO,71.86,54.74
2019,127,CAMBOYA,69.87,11.89
2019,128,SERVIA,55.31,1.50
2019,129,TUNICIA,49.89,7.90
2019,130,MALDIVAS,48.16,7.30
2019,131,"NORFOLK, ISLA",47.00,39.09
2019,132,"CAMERUN,REPUBLICA UNIDA DEL",42.29,19.68
2019,133,GUINEA-BISSAU,38.87,36.46
2019,134,COSTA DE MARFIL,37.94,19.68
2019,135,LUXEMBURGO,23.96,1.91
2019,136,ESLOVAQUIA,21.22,1.34
2019,137,KENIA,17.92,4.60
2019,138,BELARUS,14.97,1.39
2019,139,"CAIMAN,ISLAS",14.84,9.10
2019,140,MONTENEGRO,12.82,25.00
2019,141,SUDAN,8.18,2.00
2019,142,UGANDA,6.97,0.58
2019,143,NEPAL,3.00,1.00
2019,144,"COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE",2.93,0.50
2019,145,SRI LANKA,1.96,0.10
2019,146,NIGERIA,1.69,0.26
2019,147,MACEDONIA F.Y.R.,0.20,0.05
2019,148,ZAMBIA,0.04,0.00
2020,1,ESTADOS UNIDOS,"2,664,800.57","1,225,558.74"
2020,2,HOLANDA,"1,227,044.95","667,613.99"
2020,3,ESPAÑA,"460,080.07","251,954.76"
2020,4,INGLATERRA,"352,550.34","159,894.57"
2020,5,ALEMANIA,"256,860.68","95,565.20"
2020,6,CHINA,"243,340.60","143,530.98"
2020,7,ECUADOR,"240,670.21","312,418.76"
2020,8,COLOMBIA,"227,773.08","295,469.25"
2020,9,CHILE,"218,085.86","247,448.62"
2020,10,CANADA,"185,339.64","89,674.36"
2020,11,HONG KONG,"157,731.11","56,286.62"
2020,12,BELGICA,"153,412.89","79,238.30"
2020,13,MEXICO,"131,922.91","59,815.62"
2020,14,"COREA (SUR), REPUBLICA DE","118,131.12","49,294.25"
2020,15,FRANCIA,"112,833.09","42,878.53"
2020,16,RUSIA,"96,875.93","57,565.63"
2020,17,JAPON,"89,675.47","33,058.30"
2020,18,ITALIA,"83,651.81","38,995.27"
2020,19,BRASIL,"68,590.20","47,094.28"
2020,20,BOLIVIA,"66,946.51","67,164.61"
2020,21,PANAMA,"54,181.02","58,453.11"
2020,22,HAITI,"46,430.70","41,886.55"
2020,23,SUECIA,"43,952.18","15,123.59"
2020,24,INDONESIA,"30,111.20","12,917.38"
2020,25,REPUBLICA DOMINICANA,"28,695.31","21,715.87"
2020,26,AUSTRALIA,"27,867.56","9,224.95"
2020,27,ARGENTINA,"24,040.62","11,729.35"
2020,28,TAIWAN (FORMOSA),"18,641.32","5,840.34"
2020,29,PUERTO RICO,"17,952.38","12,217.52"
2020,30,COSTA RICA,"16,765.11","8,701.73"
2020,31,POLONIA,"16,705.86","9,868.19"
2020,32,GUATEMALA,"15,760.71","6,507.38"
2020,33,DINAMARCA,"15,229.82","6,944.75"
2020,34,TAILANDIA,"12,534.90","4,831.78"
2020,35,MALAYSIA,"11,870.72","4,604.26"
2020,36,HONDURAS,"11,671.20","9,507.09"
2020,37,NUEVA ZELANDA,"10,932.38","4,816.78"
2020,38,EL SALVADOR,"10,095.19","5,597.99"
2020,39,PORTUGAL,"9,907.40","5,801.15"
2020,40,VIET NAM,"9,500.44","9,972.63"
2020,41,EMIRATOS ARABES UNIDOS,"9,169.10","5,146.38"
2020,42,IRLANDA (EIRE),"8,783.03","5,610.20"
2020,43,ARABIA SAUDITA,"8,530.40","4,771.73"
2020,44,NICARAGUA,"7,742.38","6,052.17"
2020,45,FINLANDIA,"7,338.16","7,266.49"
2020,46,URUGUAY,"7,296.38","4,045.74"
2020,47,ISRAEL,"6,621.60","3,020.01"
2020,48,NORUEGA,"5,549.95","2,099.53"
2020,49,SINGAPUR,"5,229.61","1,268.64"
2020,50,VENEZUELA,"4,995.57","3,246.53"
2020,51,GRECIA,"4,807.94","2,322.85"
2020,52,ZONAS FRANCAS DEL PERU,"4,456.48","3,946.08"
2020,53,BAHAMAS,"3,893.64","3,199.69"
2020,54,EGIPTO,"3,721.04","1,110.58"
2020,55,TRINIDAD Y TOBAGO,"3,637.19","2,358.77"
2020,56,TURQUIA,"3,446.13","1,356.52"
2020,57,JORDANIA,"3,231.85","1,125.12"
2020,58,LITUANIA,"2,868.03","1,133.40"
2020,59,ARGELIA,"2,785.90","1,159.08"
2020,60,GUADALUPE,"2,698.43","1,908.24"
2020,61,GUYANA,"2,666.27","1,774.76"
2020,62,SUIZA,"2,631.35",877.77
2020,63,INDIA,"2,607.40",981.80
2020,64,KENIA,"2,606.38","5,628.45"
2020,65,JAMAICA,"1,923.49","1,075.50"
2020,66,SANTA LUCIA,"1,856.87","1,450.72"
2020,67,CURACAO,"1,826.98","1,732.69"
2020,68,"SUDAFRICA, REPUBLICA DE","1,772.58",771.30
2020,69,UCRANIA,"1,737.62",843.50
2020,70,CUBA,"1,441.73","1,944.36"
2020,71,ARUBA,"1,416.50","1,659.55"
2020,72,REPUBLICA CHECA,"1,388.74",206.48
2020,73,LIBERIA,"1,329.69",993.38
2020,74,LIBIA,"1,281.46",665.50
2020,75,LIBANO,"1,251.94",788.92
2020,76,PARAGUAY,"1,245.30",686.66
2020,77,MARTINICA,"1,241.26",805.75
2020,78,GAMBIA,"1,205.97","1,046.80"
2020,79,KUWAIT,"1,159.95",602.35
2020,80,CABO VERDE,"1,084.85",997.61
2020,81,BAHREIN,954.81,631.19
2020,82,GHANA,903.31,562.81
2020,83,IRAK,835.31,"1,232.28"
2020,84,SAN CRISTOBAL Y NIEVES,813.70,589.52
2020,85,PHILIPSBURG,733.62,651.59
2020,86,LETONIA,726.56,256.08
2020,87,QATAR,713.98,385.66
2020,88,FILIPINAS,713.69,202.44
2020,89,MARRUECOS,710.75,322.86
2020,90,SENEGAL,668.46,394.72
2020,91,BANGLADESH,629.61,249.99
2020,92,ESTONIA,611.24,181.11
2020,93,OMAN,606.73,406.71
2020,94,CROACIA,507.18,296.52
2020,95,CHIPRE,466.45,248.81
2020,96,ANTIGUA Y BARBUDA,455.91,470.94
2020,97,AGUAS INTERNACIONALES,455.28,180.11
2020,98,"IRAN, REPUBLICA ISLAMICA DEL",424.91,12.90
2020,99,BULGARIA,421.95,275.12
2020,100,HUNGRIA,409.86,37.35
2020,101,ESLOVENIA,402.70,152.22
2020,102,GUAYANA FRANCESA,385.02,299.38
2020,103,SURINAM,344.51,211.23
2020,104,RUMANIA,325.61,147.55
2020,105,SAN VICENTE Y LAS GRANADINAS,315.06,257.48
2020,106,ALBANIA,282.28,162.92
2020,107,PAKISTAN,281.75,191.59
2020,108,GUINEA ECUATORIAL,270.97,301.93
2020,109,GROENLANDIA,256.14,81.44
2020,110,AUSTRIA,251.37,34.85
2020,111,PERU,177.25,70.90
2020,112,ISLANDIA,162.10,52.34
2020,113,COSTA DE MARFIL,160.93,97.63
2020,114,BELICE,160.82,86.73
2020,115,REUNION,157.00,102.53
2020,116,BARBADOS,154.33,63.01
2020,117,MALTA,139.28,61.99
2020,118,SIERRA LEONA,122.97,90.18
2020,119,GEORGIA,116.57,47.17
2020,120,MAURICIO,116.09,77.94
2020,121,MOZAMBIQUE,93.15,27.00
2020,122,SERVIA,77.02,5.54
2020,123,NUEVA CALEDONIA,71.35,43.72
2020,124,GABON,69.54,37.91
2020,125,DOMINICA,63.29,56.59
2020,126,GRANADA,62.54,46.51
2020,127,GUINEA,61.44,54.69
2020,128,TUNICIA,57.32,20.70
2020,129,CAMBOYA,51.53,10.11
2020,130,TOGO,35.57,18.70
2020,131,"CAIMAN,ISLAS",28.03,18.20
2020,132,MONTENEGRO,27.75,17.90
2020,133,"REPÚBLICA DEMOCRÁTICA DEL CONGO
",25.02,18.23
2020,134,CONGO,25.02,18.23
2020,135,ANGOLA,24.57,18.23
2020,136,GUINEA-BISSAU,21.00,18.23
2020,137,BELARUS,18.00,0.60
2020,138,TOKELAU,11.82,3.24
2020,139,POLINESIA FRANCESA,10.82,16.40
2020,140,"CAMERUN,REPUBLICA UNIDA DEL",7.20,1.00
2020,141,ESLOVAQUIA,3.80,0.26
2020,142,MYANMAR,0.25,28.05
2022,1,ESTADOS UNIDOS,"3,437,025.83","1,517,351.00"
2022,2,HOLANDA,"1,446,746.95","784,600.89"
2022,3,ESPAÑA,"523,755.77","291,786.13"
2022,4,ECUADOR,"449,172.46","451,086.59"
2022,5,CHINA,"405,613.16","176,068.12"
2022,6,INGLATERRA,"368,475.12","151,527.67"
2022,7,ALEMANIA,"363,462.24","89,282.05"
2022,8,CHILE,"349,367.55","310,237.04"
2022,9,MEXICO,"314,575.65","153,260.71"
2022,10,COLOMBIA,"305,288.93","251,568.27"
2022,11,CANADA,"243,514.89","101,679.14"
2022,12,BELGICA,"235,381.48","73,365.50"
2022,13,HONG KONG,"196,171.96","58,694.28"
2022,14,"COREA (SUR), REPUBLICA DE","168,592.85","62,101.79"
2022,15,FRANCIA,"140,009.30","40,944.40"
2022,16,JAPON,"126,799.36","42,432.54"
2022,17,ITALIA,"113,593.04","43,409.50"
2022,18,BOLIVIA,"81,700.90","51,204.12"
2022,19,BRASIL,"78,893.22","46,716.02"
2022,20,REPUBLICA DOMINICANA,"67,290.96","46,563.84"
2022,21,SUECIA,"67,225.37","17,687.65"
2022,22,PANAMA,"64,600.29","62,462.51"
2022,23,RUSIA,"60,271.27","34,681.55"
2022,24,INDONESIA,"54,390.86","22,888.20"
2022,25,TAIWAN (FORMOSA),"39,754.80","9,673.49"
2022,26,ARGENTINA,"36,922.61","11,495.43"
2022,27,HAITI,"36,398.14","27,029.63"
2022,28,GUATEMALA,"32,252.05","17,416.64"
2022,29,VIET NAM,"28,848.47","29,655.51"
2022,30,AUSTRALIA,"28,594.68","7,429.42"
2022,31,COSTA RICA,"26,796.45","12,544.86"
2022,32,PUERTO RICO,"23,808.25","13,486.74"
2022,33,MALAYSIA,"22,598.23","8,129.36"
2022,34,POLONIA,"20,493.96","9,049.68"
2022,35,DINAMARCA,"17,790.69","6,157.28"
2022,36,TAILANDIA,"16,311.40","4,211.44"
2022,37,HONDURAS,"15,601.44","8,961.17"
2022,38,NUEVA ZELANDA,"14,968.99","5,121.59"
2022,39,IRLANDA (EIRE),"13,807.01","3,436.51"
2022,40,EL SALVADOR,"13,671.98","6,163.74"
2022,41,PORTUGAL,"13,201.64","5,460.80"
2022,42,EMIRATOS ARABES UNIDOS,"11,339.90","5,700.65"
2022,43,ISRAEL,"10,622.64","3,812.85"
2022,44,NICARAGUA,"9,557.05","6,636.91"
2022,45,URUGUAY,"9,240.86","4,144.27"
2022,46,NORUEGA,"8,951.97","2,857.59"
2022,47,FINLANDIA,"8,160.75","3,289.53"
2022,48,ARABIA SAUDITA,"7,952.67","3,816.05"
2022,49,TURQUIA,"7,580.10","1,780.85"
2022,50,VENEZUELA,"7,413.06","3,257.44"
2022,51,INDIA,"6,157.44","1,456.10"
2022,52,JORDANIA,"6,096.84","1,286.37"
2022,53,MARRUECOS,"5,375.17","4,526.45"
2022,54,ZONAS FRANCAS DEL PERU,"5,303.71","1,848.79"
2022,55,GRECIA,"4,990.93","1,761.78"
2022,56,HUNGRIA,"4,785.54",27.59
2022,57,SUIZA,"4,331.89","1,435.88"
2022,58,SINGAPUR,"3,769.91","1,051.77"
2022,59,LITUANIA,"3,766.51","1,230.44"
2022,60,TRINIDAD Y TOBAGO,"3,635.07","1,943.46"
2022,61,BAHAMAS,"3,554.57","2,882.99"
2022,62,"SUDAFRICA, REPUBLICA DE","3,400.17","1,285.79"
2022,63,GUADALUPE,"3,375.99","2,245.55"
2022,64,EGIPTO,"2,924.50",896.45
2022,65,ESTONIA,"2,355.80",580.73
2022,66,GUYANA,"2,306.98","1,416.71"
2022,67,SANTA LUCIA,"2,069.33","1,291.13"
2022,68,ARGELIA,"1,927.17",897.31
2022,69,JAMAICA,"1,897.32","1,029.05"
2022,70,LIBANO,"1,625.33",920.07
2022,71,LETONIA,"1,503.46",418.47
2022,72,MARTINICA,"1,486.30","1,036.92"
2022,73,LIBERIA,"1,433.70",958.51
2022,74,LIBIA,"1,420.74",368.87
2022,75,ARUBA,"1,285.10","1,453.45"
2022,76,PARAGUAY,"1,238.64",735.41
2022,77,REPUBLICA CHECA,"1,195.38",414.35
2022,78,CURACAO,"1,034.76",800.23
2022,79,PAKISTAN,"1,011.45",279.15
2022,80,KUWAIT,"1,007.47",424.37
2022,81,GAMBIA,979.35,691.36
2022,82,RUMANIA,973.14,443.97
2022,83,BAHREIN,848.72,406.55
2022,84,BULGARIA,843.14,451.37
2022,85,NIGERIA,719.02,"1,227.42"
2022,86,FILIPINAS,705.80,213.25
2022,87,SAN VICENTE Y LAS GRANADINAS,673.76,483.42
2022,88,SAN CRISTOBAL Y NIEVES,666.39,364.09
2022,89,SIERRA LEONA,643.79,435.90
2022,90,UCRANIA,613.38,126.41
2022,91,CABO VERDE,601.91,413.19
2022,92,SENEGAL,587.38,309.18
2022,93,CHIPRE,562.40,346.86
2022,94,IRAK,549.87,186.91
2022,95,GEORGIA,534.48,75.15
2022,96,QATAR,494.98,228.71
2022,97,TERRITORIO ANTARTICO BRITANICO,493.43,94.88
2022,98,ESLOVENIA,474.79,111.02
2022,99,ALBANIA,442.60,197.53
2022,100,KAZAJSTAN,400.26,5.83
2022,101,BANGLADESH,383.06,175.00
2022,102,MAURICIO,365.57,241.50
2022,103,GUINEA,360.19,236.98
2022,104,PHILIPSBURG,357.47,301.25
2022,105,ANTIGUA Y BARBUDA,344.40,354.08
2022,106,GUAYANA FRANCESA,331.83,232.28
2022,107,GHANA,314.54,193.26
2022,108,ESLOVAQUIA,313.57,2.81
2022,109,CROACIA,291.82,135.78
2022,110,AGUAS INTERNACIONALES,266.96,73.28
2022,111,SURINAM,240.69,150.14
2022,112,REUNION,238.45,149.23
2022,113,OMAN,237.59,51.41
2022,114,"IRAN, REPUBLICA ISLAMICA DEL",235.89,6.70
2022,115,ISLANDIA,218.58,69.15
2022,116,ANGOLA,211.64,87.28
2022,117,MALTA,176.17,114.18
2022,118,TOGO,165.19,241.73
2022,119,AUSTRIA,163.42,32.07
2022,120,BELICE,130.63,14.55
2022,121,CUBA,128.10,183.24
2022,122,MOZAMBIQUE,115.56,25.68
2022,123,CAMBOYA,103.27,22.40
2022,124,COSTA DE MARFIL,83.77,24.18
2022,125,SERVIA,58.43,2.90
2022,126,"COREA (NORTE), REPUBLICA POPULAR DEMOCRATICA DE",52.69,15.59
2022,127,BARBADOS,41.66,27.85
2022,128,MALDIVAS,27.31,4.86
2022,129,GRANADA,26.81,20.92
2022,130,"CAMERUN,REPUBLICA UNIDA DEL",10.49,0.38
2022,131,KENIA,5.42,48.10
2022,132,TUNICIA,5.30,4.00
2022,133,"TANZANIA, REPUBLICA UNIDA DE",4.87,0.50
2022,134,UZBEKISTAN,1.97,0.20
2022,135,ZAMBIA,0.04,0.01
2023,1,ESTADOS UNIDOS,"3,665,427.01","1,344,451.32"
2023,2,HOLANDA,"1,483,015.16","702,907.49"
2023,3,ESPAÑA,"590,525.31","307,010.66"
2023,4,ECUADOR,"432,554.73","435,118.89"
2023,5,CHINA,"419,542.13","182,389.14"
2023,6,INGLATERRA,"395,920.23","157,903.92"
2023,7,CHILE,"381,825.35","324,514.47"
2023,8,MEXICO,"373,029.38","175,952.01"
2023,9,ALEMANIA,"253,058.46","73,690.38"
2023,10,CANADA,"252,949.24","101,748.26"
2023,11,COLOMBIA,"250,719.53","204,078.67"
2023,12,HONG KONG,"210,269.09","57,338.19"
2023,13,BELGICA,"159,883.42","65,857.89"
2023,14,"COREA (SUR), REPUBLICA DE","153,941.87","59,787.67"
2023,15,FRANCIA,"140,282.58","43,426.56"
2023,16,ITALIA,"126,363.26","55,276.64"
2023,17,JAPON,"121,904.71","46,116.80"
2023,18,REPUBLICA DOMINICANA,"75,583.42","44,955.45"
2023,19,MALAYSIA,"71,114.96","22,825.20"
2023,20,BRASIL,"69,459.75","37,544.47"
2023,21,BOLIVIA,"68,523.69","39,896.13"
2023,22,PANAMA,"63,991.75","46,706.47"
2023,23,HAITI,"60,388.77","42,961.70"
2023,24,RUSIA,"58,585.42","28,247.91"
2023,25,GUATEMALA,"53,222.88","31,045.13"
2023,26,TAIWAN (FORMOSA),"47,536.25","11,680.97"
2023,27,INDONESIA,"45,802.54","15,047.69"
2023,28,SUECIA,"42,357.95","12,411.51"
2023,29,ARGENTINA,"34,599.92","10,726.61"
2023,30,COSTA RICA,"31,436.45","13,294.90"
2023,31,AUSTRALIA,"30,642.08","7,580.95"
2023,32,PUERTO RICO,"24,087.17","12,121.31"
2023,33,HONDURAS,"21,019.67","11,035.60"
2023,34,VIET NAM,"20,227.05","21,969.46"
2023,35,POLONIA,"18,337.16","8,858.68"
2023,36,TAILANDIA,"18,016.08","4,230.41"
2023,37,DINAMARCA,"17,212.31","6,107.30"
2023,38,EL SALVADOR,"16,653.60","7,316.94"
2023,39,PORTUGAL,"15,923.82","7,933.96"
2023,40,EMIRATOS ARABES UNIDOS,"15,049.75","7,479.12"
2023,41,NUEVA ZELANDA,"14,746.87","4,884.85"
2023,42,VENEZUELA,"12,999.50","5,430.96"
2023,43,TURQUIA,"12,649.06","3,085.82"
2023,44,IRLANDA (EIRE),"12,348.20","3,698.24"
2023,45,NICARAGUA,"10,646.74","6,424.37"
2023,46,NORUEGA,"9,484.59","3,211.64"
2023,47,INDIA,"8,998.71","2,285.58"
2023,48,URUGUAY,"8,819.45","3,006.16"
2023,49,GRECIA,"8,667.11","2,541.31"
2023,50,ARABIA SAUDITA,"8,581.21","4,157.76"
2023,51,ISRAEL,"8,502.71","3,023.09"
2023,52,ZONAS FRANCAS DEL PERU,"5,840.16","4,966.87"
2023,53,JORDANIA,"5,131.17","1,474.59"
2023,54,ARGELIA,"4,734.08","1,702.86"
2023,55,SINGAPUR,"4,548.79",978.71
2023,56,BAHAMAS,"4,327.21","3,212.94"
2023,57,EGIPTO,"4,303.26",699.73
2023,58,FINLANDIA,"3,923.88","2,824.54"
2023,59,ESTONIA,"3,740.70","1,060.52"
2023,60,GUADALUPE,"3,708.56","2,295.01"
2023,61,SUIZA,"3,371.94",863.34
2023,62,"SUDAFRICA, REPUBLICA DE","2,691.82",955.32
2023,63,GUYANA,"2,593.65","1,420.47"
2023,64,TRINIDAD Y TOBAGO,"2,499.37","1,198.37"
2023,65,SANTA LUCIA,"2,239.35","1,299.61"
2023,66,LITUANIA,"2,209.24",913.09
2023,67,LIBERIA,"2,179.88","1,234.12"
2023,68,MARRUECOS,"2,150.76","1,545.41"
2023,69,JAMAICA,"1,982.15","1,047.78"
2023,70,MARTINICA,"1,978.78","1,328.74"
2023,71,LIBANO,"1,944.44",993.71
2023,72,REPUBLICA CHECA,"1,757.99",748.34
2023,73,CUBA,"1,634.87",640.86
2023,74,ARUBA,"1,604.63","1,666.86"
2023,75,KUWAIT,"1,601.37",723.84
2023,76,CURACAO,"1,497.21","1,077.56"
2023,77,RUMANIA,"1,291.55",268.70
2023,78,IRAK,"1,231.52","1,291.71"
2023,79,AGUAS INTERNACIONALES,"1,182.57",535.16
2023,80,PARAGUAY,"1,090.76",829.20
2023,81,PAKISTAN,"1,043.97",166.00
2023,82,BULGARIA,915.37,407.52
2023,83,BANGLADESH,890.97,305.63
2023,84,LIBIA,723.94,122.13
2023,85,FILIPINAS,723.72,167.46
2023,86,BAHREIN,666.59,314.14
2023,87,SAN CRISTOBAL Y NIEVES,665.60,364.56
2023,88,GUINEA,646.52,378.53
2023,89,SAN VICENTE Y LAS GRANADINAS,631.46,374.45
