;Departamento;Provincia;Distrito;UBIGEO;;;;
;La Libertad;Otuzco;Paranday;130610;;;;
;La Libertad;Otuzco;Salpo;130611;;;;
;La Libertad;Otuzco;Sinsicap;130613;;;;
;La Libertad;Otuzco;Usquil;130614;;;;
;La Libertad;Pacasmayo;San Pedro de Lloc;130701;;;;
;La Libertad;Pacasmayo;Guadalupe;130702;;;;
;La Libertad;Pacasmayo;Jequetepeque;130703;;;;
;La Libertad;Pacasmayo;Pacasmayo;130704;;;;
;La Libertad;Pacasmayo;San José;130705;;;;
;La Libertad;Pataz;Tayabamba;130801;;;;
;La Libertad;Pataz;Buldibuyo;130802;;;;
;La Libertad;Pataz;Chillia;130803;;;;
;La Libertad;Pataz;Huancaspata;130804;;;;
;La Libertad;Pataz;Huaylillas;130805;;;;
;La Libertad;Pataz;Huayo;130806;;;;
;La Libertad;Pataz;Ongon;130807;;;;
;La Libertad;Pataz;Parcoy;130808;;;;
;La Libertad;Pataz;Pataz;130809;;;;
;La Libertad;Pataz;Pias;130810;;;;
;La Libertad;Pataz;Santiago de Challas;130811;;;;
;La Libertad;Pataz;Taurija;130812;;;;
;La Libertad;Pataz;Urpay;130813;;;;
;La Libertad;Sánchez Carrión;Huamachuco;130901;;;;
;La Libertad;Sánchez Carrión;Chugay;130902;;;;
;La Libertad;Sánchez Carrión;Cochorco;130903;;;;
;La Libertad;Sánchez Carrión;Curgos;130904;;;;
;La Libertad;Sánchez Carrión;Marcabal;130905;;;;
;La Libertad;Sánchez Carrión;Sanagoran;130906;;;;
;La Libertad;Sánchez Carrión;Sarin;130907;;;;
;La Libertad;Sánchez Carrión;Sartimbamba;130908;;;;
;La Libertad;Santiago de Chuco;Santiago de Chuco;131001;;;;
;La Libertad;Santiago de Chuco;Angasmarca;131002;;;;
;La Libertad;Santiago de Chuco;Cachicadan;131003;;;;
;La Libertad;Santiago de Chuco;Mollebamba;131004;;;;
;La Libertad;Santiago de Chuco;Mollepata;131005;;;;
;La Libertad;Santiago de Chuco;Quiruvilca;131006;;;;
;La Libertad;Santiago de Chuco;Santa Cruz de Chuca;131007;;;;
;La Libertad;Santiago de Chuco;Sitabamba;131008;;;;
;La Libertad;Gran Chimú;Cascas;131101;;;;
;La Libertad;Gran Chimú;Lucma;131102;;;;
;La Libertad;Gran Chimú;Marmot;131103;;;;
;La Libertad;Gran Chimú;Sayapullo;131104;;;;
;La Libertad;Virú;Viru;131201;;;;
;La Libertad;Virú;Chao;131202;;;;
;La Libertad;Virú;Guadalupito;131203;;;;
;Lambayeque;Chiclayo;Chiclayo;140101;;;;
;Lambayeque;Chiclayo;Chongoyape;140102;;;;
;Lambayeque;Chiclayo;Eten;140103;;;;
;Lambayeque;Chiclayo;Eten Puerto;140104;;;;
;Lambayeque;Chiclayo;José Leonardo Ortiz;140105;;;;
;Lambayeque;Chiclayo;La Victoria;140106;;;;
;Lambayeque;Chiclayo;Lagunas;140107;;;;
;Lambayeque;Chiclayo;Monsefu;140108;;;;
;Lambayeque;Chiclayo;Nueva Arica;140109;;;;
;Lambayeque;Chiclayo;Oyotun;140110;;;;
;Lambayeque;Chiclayo;Picsi;140111;;;;
;Lambayeque;Chiclayo;Pimentel;140112;;;;
;Lambayeque;Chiclayo;Reque;140113;;;;
;Lambayeque;Chiclayo;Santa Rosa;140114;;;;
;Lambayeque;Chiclayo;Saña;140115;;;;
;Lambayeque;Chiclayo;Cayalti;140116;;;;
;Lambayeque;Chiclayo;Patapo;140117;;;;
;Lambayeque;Chiclayo;Pomalca;140118;;;;
;Lambayeque;Chiclayo;Pucala;140119;;;;
;Lambayeque;Chiclayo;Tuman;140120;;;;
;Lambayeque;Ferreñafe;Ferreñafe;140201;;;;
;Lambayeque;Ferreñafe;Cañaris;140202;;;;
;Lambayeque;Ferreñafe;Incahuasi;140203;;;;
;Lambayeque;Ferreñafe;Manuel Antonio Mesones Muro;140204;;;;
;Lambayeque;Ferreñafe;Pitipo;140205;;;;
;Lambayeque;Ferreñafe;Pueblo Nuevo;140206;;;;
;Lambayeque;Lambayeque;Lambayeque;140301;;;;
;Lambayeque;Lambayeque;Chochope;140302;;;;
;Lambayeque;Lambayeque;Illimo;140303;;;;
;Lambayeque;Lambayeque;Jayanca;140304;;;;
;Lambayeque;Lambayeque;Mochumi;140305;;;;
;Lambayeque;Lambayeque;Morrope;140306;;;;
;Lambayeque;Lambayeque;Motupe;140307;;;;
;Lambayeque;Lambayeque;Olmos;140308;;;;
;Lambayeque;Lambayeque;Pacora;140309;;;;
;Lambayeque;Lambayeque;Salas;140310;;;;
;Lambayeque;Lambayeque;San José;140311;;;;
;Lambayeque;Lambayeque;Tucume;140312;;;;
;Tacna;Tacna;Tacna;230101;;;;
;Tacna;Tacna;Alto de la Alianza;230102;;;;
;Tacna;Tacna;Calana;230103;;;;
;Tacna;Tacna;Ciudad Nueva;230104;;;;
;Tacna;Tacna;Inclan;230105;;;;
;Tacna;Tacna;Pachia;230106;;;;
;Tacna;Tacna;Palca;230107;;;;
;Tacna;Tacna;Pocollay;230108;;;;
;Tacna;Tacna;Sama;230109;;;;
;Tacna;Tacna;Coronel Gregorio Albarracín Lanchipa;230110;;;;
;Tacna;Tacna;La Yarada los Palos;230111;;;;
;Tacna;Candarave;Candarave;230201;;;;
;Tacna;Candarave;Cairani;230202;;;;
;Tacna;Candarave;Camilaca;230203;;;;
;Tacna;Candarave;Curibaya;230204;;;;
;Tacna;Candarave;Huanuara;230205;;;;
;Tacna;Candarave;Quilahuani;230206;;;;
;Tacna;Jorge Basadre;Locumba;230301;;;;
;Tacna;Jorge Basadre;Ilabaya;230302;;;;
;Tacna;Jorge Basadre;Ite;230303;;;;
;Tacna;Tarata;Tarata;230401;;;;
;Tacna;Tarata;Héroes Albarracín;230402;;;;
;Tacna;Tarata;Estique;230403;;;;
;Tacna;Tarata;Estique-Pampa;230404;;;;
;Tacna;Tarata;Sitajara;230405;;;;
;Tacna;Tarata;Susapaya;230406;;;;
;Tacna;Tarata;Tarucachi;230407;;;;
;Tacna;Tarata;Ticaco;230408;;;;
;Ica;Ica;Ica;110101;;;;
;Ica;Ica;La Tinguiña;110102;;;;
;Ica;Ica;Los Aquijes;110103;;;;
;Ica;Ica;Ocucaje;110104;;;;
;Ica;Ica;Pachacutec;110105;;;;
;Ica;Ica;Parcona;110106;;;;
;Ica;Ica;Pueblo Nuevo;110107;;;;
;Ica;Ica;Salas;110108;;;;
;Ica;Ica;San José de Los Molinos;110109;;;;
;Ica;Ica;San Juan Bautista;110110;;;;
;Ica;Ica;Santiago;110111;;;;
;Ica;Ica;Subtanjalla;110112;;;;
;Ica;Ica;Tate;110113;;;;
;Ica;Ica;Yauca del Rosario;110114;;;;
;Ica;Chincha;Chincha Alta;110201;;;;
;Ica;Chincha;Alto Laran;110202;;;;
;Ica;Chincha;Chavin;110203;;;;
;Ica;Chincha;Chincha Baja;110204;;;;
;Ica;Chincha;El Carmen;110205;;;;
;Ica;Chincha;Grocio Prado;110206;;;;
;Ica;Chincha;Pueblo Nuevo;110207;;;;
;Ica;Chincha;San Juan de Yanac;110208;;;;
;Ica;Chincha;San Pedro de Huacarpana;110209;;;;
;Ica;Chincha;Sunampe;110210;;;;
;Ica;Chincha;Tambo de Mora;110211;;;;
;Ica;Nasca;Nasca;110301;;;;
;Ica;Nasca;Changuillo;110302;;;;
;Ica;Nasca;El Ingenio;110303;;;;
;Ica;Nasca;Marcona;110304;;;;
;Ica;Nasca;Vista Alegre;110305;;;;
;Ica;Palpa;Palpa;110401;;;;
;Ica;Palpa;Llipata;110402;;;;
;Ica;Palpa;Río Grande;110403;;;;
;Ica;Palpa;Santa Cruz;110404;;;;
;Ica;Palpa;Tibillo;110405;;;;
;Ica;Pisco;Pisco;110501;;;;
;Ica;Pisco;Huancano;110502;;;;
;Ica;Pisco;Humay;110503;;;;
;Ica;Pisco;Independencia;110504;;;;
;Ica;Pisco;Paracas;110505;;;;
;Ica;Pisco;San Andrés;110506;;;;
;Ica;Pisco;San Clemente;110507;;;;
;Ica;Pisco;Tupac Amaru Inca;110508;;;;
